Date / Time,City,State,Shape,Duration,Summary,Posted,Type
2/17/20 05:50,Wanship,UT,,10 minutes,"20 or more lights, evenly spaced, traveling quickly, straight line heading Northeast, no sound. Upper atmosphere or higher.",2/25/20,Sighting
2/17/20 05:25,Akron,OH,Light,3 minutes,Green UFO making directional changes,2/25/20,Sighting
2/17/20 05:20,Modesto,CA,Light,>15 seconds,2 stationary bright star-like white lights seen in a pair that then faded simultaneously in about 15 seconds.,2/25/20,Sighting
2/17/20 02:00,Columbus,OH,Cylinder,8 seconds,I was driving west on Steele ave and the green Cylinder shape growing light came from went shooting across the sky right in front of me,2/25/20,Sighting
2/17/20 01:30,St. Maries,ID,Unknown,Ongoing,Light changing from bright white to orange as if the source is rotating. The white light is very intense and lights up the entire area.,2/25/20,Sighting
2/17/20 01:28,Overland,MO,Diamond,5 seconds,One bright green flash shooting across the sky.,2/25/20,Sighting
2/17/20 01:18,Moreno Valley,CA,Triangle,1 minute,Traingle ufo with lights spotted in moreno valley,2/25/20,Sighting
2/16/20 23:00,Athelstane,WI,Sphere,2 hours,"Noticed bright light in sky,moving left to right,then stationary,looked through binoculars & looked like a round sphere,red, blue,green",2/25/20,Sighting
2/16/20 22:30,Avon,IN,Other,2-3 seconds,Large blue flash coming from the sky,2/25/20,Sighting
2/16/20 22:30,Starkville,MS,Light,2 seconds,"Bright dot shot to the middle of the sky, stopped for 2 seconds and Shit away in a completely different direction",2/25/20,Sighting
2/16/20 21:06,Big Pine Key,FL,Fireball,4-5 seconds,02/16/20 Streak of red light lasting about 4 sec off the East coast of Big Pine Key FL at 9:06 PM,2/25/20,Sighting
2/16/20 20:15,Waxahachie,TX,Formation,20 seconds,V-formation of 20 of low-flying elongated arrowhead shaped objects,2/25/20,Sighting
2/16/20 19:45,North Stonington,CT,Triangle,20 minutes,Triangular object observed moving east then south after dark for 20 minutes via binoculars lit up very bright then dimming changing col,2/25/20,Sighting
2/16/20 19:40,Roseburg,OR,Light,unsure,"Stationary light, brightest in the night sky. ((NUFORC Note: Possible sighting of Venus?? PD))",2/25/20,Sighting
2/16/20 19:00,Springfield,OH,Formation,3 minutes,"Above the reservoir we saw a formation of 20 or more orange lights streching across the sky. ((""Starlink"" satellites??))",2/25/20,Sighting
2/16/20 19:00,Cardiff By The Sea,CA,Disk,30 minutes,Scripps San Diego UFO Pair of Oscillating Discs With Spokes,2/25/20,Sighting
2/16/20 18:00,Kinder,LA,Oval,25 minutes,Shiny non moving object,2/25/20,Sighting
2/16/20 14:00,Pembroke Pines,FL,Circle,5 minutes,"I saw a circular silver sphere, like a bright shiny silver balloon. Floating above the clouds, it went up and down the clouds for about",2/25/20,Sighting
2/16/20 11:00,Honey Brook,PA,Triangle,5 minutes,"As I was driving, I noticed a bright &quot;star&quot; in the sky. But as I approached it, it turned into a triagle aircraft with a ligh",2/25/20,Sighting
2/16/20 08:40,Brooklyn,NY,Fireball,8:47,Fireball over Prospect Park.,2/25/20,Sighting
2/16/20 06:45,West Yarmouth,MA,Unknown,10 minutes,Strange searching lights in woods that changed colors,2/25/20,Sighting
2/16/20 05:59,Dillsburg,PA,Light,30 seconds,"Large bright white light, unblinking, slow movement and flicker. Vanished after a short time.",2/25/20,Sighting
2/16/20 02:30,Orlando,FL,Cigar,4 minutes,Cigar shaped object hovering over The Orlando International Airport Florida,2/25/20,Sighting
2/16/20 01:00,St. George,UT,Light,5 minutes,Followed by orange orb while driving.,2/25/20,Sighting
2/15/20 20:30,,NE,Light,Seconds,4 evenly spaced high speed lights,2/25/20,Sighting
2/15/20 20:00,Skokie,IL,Light,7 minutes,"Unmanned Aerial Systems in night sky above Skokie, IL.",2/25/20,Sighting
2/15/20 20:00,Redlands,CA,Teardrop,2-3 seconds,"Large glowing green, comet shaped object, flying North over Redlands and then “winks” out of existence before reaching the horizon.",2/25/20,Sighting
2/15/20 19:30,Fay,OK,Light,30 minutes,"Large bright light, with smaller lights flying away from it.",2/25/20,Sighting
2/15/20 19:00,Knik,AK,Oval,2-3 hours,Very bright stationary light.,2/25/20,Sighting
2/15/20 19:00,Grand Terrace,CA,Light,15 seconds,Bright blue orb hovering and shooting out of sight.,2/25/20,Sighting
2/15/20 18:00,Alma,NY,Triangle,3 hours,"We believe we saw a triangular craft overhead in Alma, NY. on Saturday, February 15, 2020.",2/25/20,Sighting
2/15/20 17:00,Apollo Beach,FL,Oval,Seconds,"Single Metallic oval shaped craft seen over Apollo Beach, FL around 5 PM",2/25/20,Sighting
2/15/20 17:00,Mesa,AZ,Light,2 hours,A hovercraft that would fade away when approached by other aircraft and reappears after. It has appeared multiple nights in the same sp,2/25/20,Sighting
2/15/20 12:30,North Hollywood,CA,Formation,15 minutes,"Glinting formation, multiple objects.",2/25/20,Sighting
2/15/20 10:30,Dawsonville,GA,Sphere,5 seconds,Silver orb,2/25/20,Sighting
